,production_key,datetime,consumption,production,interval,intervalsec
76442,233048,2022-05-18 12:00:03.350,1199.08,1787.66,0 days 00:00:10.260000,10.0
76443,233049,2022-05-18 12:00:13.570,1197.05,1758.82,0 days 00:00:10.220000,10.0
76444,233050,2022-05-18 12:00:23.820,927.173,1736.38,0 days 00:00:10.250000,10.0
76445,233051,2022-05-18 12:00:34.070,1070.8,1720.56,0 days 00:00:10.250000,10.0
76446,233052,2022-05-18 12:00:44.230,1073.78,1706.91,0 days 00:00:10.160000,10.0
76447,233053,2022-05-18 12:00:54.410,1081.93,1702.83,0 days 00:00:10.180000,10.0
76448,233054,2022-05-18 12:01:04.550,1076.41,1712.21,0 days 00:00:10.140000,10.0
76449,233055,2022-05-18 12:01:14.790,1080.14,1727.19,0 days 00:00:10.240000,10.0
76450,233056,2022-05-18 12:01:25.050,1091.05,1739.44,0 days 00:00:10.260000,10.0
76451,233057,2022-05-18 12:01:35.320,1096.45,1740.48,0 days 00:00:10.270000,10.0
76452,233058,2022-05-18 12:01:45.490,1092.17,1722.01,0 days 00:00:10.170000,10.0
76453,233059,2022-05-18 12:01:55.770,1066.89,1683.86,0 days 00:00:10.280000,10.0
76454,233060,2022-05-18 12:02:06.020,1050.25,1643.82,0 days 00:00:10.250000,10.0
76455,233061,2022-05-18 12:02:16.200,1054.46,1622.39,0 days 00:00:10.180000,10.0
76456,233062,2022-05-18 12:02:26.280,1046.53,1615.89,0 days 00:00:10.080000,10.0
76457,233063,2022-05-18 12:02:36.520,965.7,1637.86,0 days 00:00:10.240000,10.0
76458,233064,2022-05-18 12:02:46.770,923.522,1683.99,0 days 00:00:10.250000,10.0
76459,233065,2022-05-18 12:02:56.900,917.269,1751.27,0 days 00:00:10.130000,10.0
76460,233066,2022-05-18 12:03:07.140,909.23,1813.12,0 days 00:00:10.240000,10.0
76461,233067,2022-05-18 12:03:17.210,917.813,1873.37,0 days 00:00:10.070000,10.0
76462,233068,2022-05-18 12:03:27.310,901.256,1917.54,0 days 00:00:10.100000,10.0
76463,233069,2022-05-18 12:03:37.470,891.352,1939.93,0 days 00:00:10.160000,10.0
76464,233070,2022-05-18 12:03:47.690,882.622,1939.09,0 days 00:00:10.220000,10.0
76465,233071,2022-05-18 12:03:57.960,902.179,1907.18,0 days 00:00:10.270000,10.0
76466,233072,2022-05-18 12:04:08.220,914.947,1842.6,0 days 00:00:10.260000,10.0
76467,233073,2022-05-18 12:04:18.410,929.775,1767.33,0 days 00:00:10.190000,10.0
76468,233074,2022-05-18 12:04:28.540,942.863,1687.02,0 days 00:00:10.130000,10.0
76469,233075,2022-05-18 12:04:38.780,941.782,1612.85,0 days 00:00:10.240000,10.0
76470,233076,2022-05-18 12:04:49.040,922.835,1544.5,0 days 00:00:10.260000,10.0
76471,233077,2022-05-18 12:04:59.170,926.294,1493.86,0 days 00:00:10.130000,10.0
76472,233078,2022-05-18 12:05:09.290,928.008,1467.39,0 days 00:00:10.120000,10.0
76473,233079,2022-05-18 12:05:19.530,929.614,1462.21,0 days 00:00:10.240000,10.0
76474,233080,2022-05-18 12:05:29.680,933.975,1472.17,0 days 00:00:10.150000,10.0
76475,233081,2022-05-18 12:05:39.800,935.745,1492.67,0 days 00:00:10.120000,10.0
76476,233082,2022-05-18 12:05:50.050,941.021,1520.09,0 days 00:00:10.250000,10.0
76477,233083,2022-05-18 12:06:00.290,941.629,1558.39,0 days 00:00:10.240000,10.0
76478,233084,2022-05-18 12:06:10.580,976.364,1596.71,0 days 00:00:10.290000,10.0
76479,233085,2022-05-18 12:06:20.640,951.505,1628.37,0 days 00:00:10.060000,10.0
76480,233086,2022-05-18 12:06:30.890,955.162,1655.73,0 days 00:00:10.250000,10.0
76481,233087,2022-05-18 12:06:40.970,957.278,1668.91,0 days 00:00:10.080000,10.0
76482,233088,2022-05-18 12:06:51.300,919.013,1684.31,0 days 00:00:10.330000,10.0
76483,233089,2022-05-18 12:07:01.430,920.657,1710.3,0 days 00:00:10.130000,10.0
76484,233090,2022-05-18 12:07:11.720,921.344,1743.52,0 days 00:00:10.290000,10.0
76485,233091,2022-05-18 12:07:21.960,916.404,1759.9,0 days 00:00:10.240000,10.0
76486,233092,2022-05-18 12:07:32.190,917.448,1767.85,0 days 00:00:10.230000,10.0
76487,233093,2022-05-18 12:07:42.260,921.202,1764.75,0 days 00:00:10.070000,10.0
76488,233094,2022-05-18 12:07:52.620,882.503,1761.45,0 days 00:00:10.360000,10.0
76489,233095,2022-05-18 12:08:02.710,865.065,1763.97,0 days 00:00:10.090000,10.0
76490,233096,2022-05-18 12:08:12.970,856.74,1771.75,0 days 00:00:10.260000,10.0
76491,233097,2022-05-18 12:08:23.040,1117.91,1781.83,0 days 00:00:10.070000,10.0
76492,233098,2022-05-18 12:08:33.520,1164.88,1804.73,0 days 00:00:10.480000,10.0
76493,233099,2022-05-18 12:08:43.590,1179.78,1854.68,0 days 00:00:10.070000,10.0
76494,233100,2022-05-18 12:08:53.670,1573.36,1910.05,0 days 00:00:10.080000,10.0
76495,233101,2022-05-18 12:09:03.760,1205.39,1963.65,0 days 00:00:10.090000,10.0
76496,233102,2022-05-18 12:09:14.040,1208.26,2010.91,0 days 00:00:10.280000,10.0
76497,233103,2022-05-18 12:09:24.280,2657.94,2047.79,0 days 00:00:10.240000,10.0
76498,233104,2022-05-18 12:09:34.410,2643.46,2069.82,0 days 00:00:10.130000,10.0
76499,233105,2022-05-18 12:09:44.650,2645.23,2083.88,0 days 00:00:10.240000,10.0
76500,233106,2022-05-18 12:09:54.790,2651.22,2104.11,0 days 00:00:10.140000,10.0
76501,233107,2022-05-18 12:10:05.030,2665.54,2122.76,0 days 00:00:10.240000,10.0
76502,233108,2022-05-18 12:10:15.350,4306.85,2141.28,0 days 00:00:10.320000,10.0
76503,233109,2022-05-18 12:10:25.520,2672.99,2162.25,0 days 00:00:10.170000,10.0
76504,233110,2022-05-18 12:10:35.800,2675.18,2204.54,0 days 00:00:10.280000,10.0
76505,233111,2022-05-18 12:10:46.010,2675.3,2248.46,0 days 00:00:10.210000,10.0
76506,233112,2022-05-18 12:10:56.170,2680.96,2294.28,0 days 00:00:10.160000,10.0
